loss,lr,acc
0.10075816512107849,5e-05,0.3125
0.12189451605081558,5e-05,0.125
0.10053396970033646,5e-05,0.1875
0.09763871133327484,5e-05,0.3125
0.06865062564611435,5e-05,0.4375
0.13603168725967407,5e-05,0.0625
0.07597042620182037,5e-05,0.4375
0.11121998727321625,5e-05,0.3125
0.13240155577659607,5e-05,0.125
0.1023794561624527,5e-05,0.1875
0.10156931728124619,5e-05,0.1875
0.11257630586624146,5e-05,0.1875
0.08801161497831345,5e-05,0.25
0.12175019830465317,5e-05,0.125
0.10834435373544693,5e-05,0.125
0.12328901141881943,5e-05,0.1875
0.10157492756843567,5e-05,0.25
0.11710472404956818,5e-05,0.25
0.0689588412642479,5e-05,0.375
0.09701690077781677,5e-05,0.0625
0.08764500916004181,5e-05,0.1875
0.06603702902793884,5e-05,0.4375
0.10365799814462662,5e-05,0.3125
0.11400912702083588,5e-05,0.1875
0.11586577445268631,5e-05,0.25
0.13781142234802246,5e-05,0.125
0.10918571799993515,5e-05,0.1875
0.09569434076547623,5e-05,0.4375
0.13035142421722412,5e-05,0.125
0.10677275061607361,5e-05,0.25
0.08723083138465881,5e-05,0.25
0.08474523574113846,5e-05,0.375
0.10021337121725082,5e-05,0.3125
0.08486776053905487,5e-05,0.25
0.0968262106180191,5e-05,0.3125
0.10822034627199173,5e-05,0.3125
0.11493704468011856,5e-05,0.1875
0.07429000735282898,5e-05,0.4375
0.12308480590581894,5e-05,0.1875
0.14493373036384583,5e-05,0.375
0.09492067247629166,5e-05,0.375
0.10573222488164902,5e-05,0.3125
0.11572203785181046,5e-05,0.25
0.12127048522233963,5e-05,0.125
0.11025196313858032,5e-05,0.125
0.08183236420154572,5e-05,0.3125
0.09080550074577332,5e-05,0.375
0.11634764820337296,5e-05,0.25
0.08661280572414398,5e-05,0.4375
0.11054684221744537,5e-05,0.3125
0.09120779484510422,5e-05,0.25
0.07724142074584961,5e-05,0.4375
0.09834227710962296,5e-05,0.3125
0.11792310327291489,5e-05,0.125
0.09709186851978302,5e-05,0.3125
0.11565512418746948,5e-05,0.1875
0.08786027878522873,5e-05,0.375
0.05904019996523857,5e-05,0.5
0.11217400431632996,5e-05,0.0625
0.11991778761148453,5e-05,0.1875
0.10328753292560577,5e-05,0.375
0.0995865911245346,5e-05,0.1875
0.09395364671945572,5e-05,0.3125
0.10477593541145325,5e-05,0.3125
0.09499625861644745,5e-05,0.1875
0.11414404958486557,5e-05,0.1875
0.09707439690828323,5e-05,0.1875
0.10686614364385605,5e-05,0.3125
0.08024313300848007,5e-05,0.4375
0.08372577279806137,5e-05,0.4375
0.10045723617076874,5e-05,0.3125
0.12018515914678574,5e-05,0.3125
0.10143620520830154,5e-05,0.1875
0.1300959289073944,5e-05,0.1875
0.0994463860988617,5e-05,0.375
0.1015004813671112,5e-05,0.125
0.10833686590194702,5e-05,0.3125
0.07196517288684845,5e-05,0.5
0.07327117770910263,5e-05,0.4375
0.11291637271642685,5e-05,0.25
0.08234952390193939,5e-05,0.375
0.10030820220708847,5e-05,0.3125
0.11213262379169464,5e-05,0.25
0.11319496482610703,5e-05,0.3125
0.10280566662549973,5e-05,0.25
0.11465800553560257,5e-05,0.125
0.09403201192617416,5e-05,0.3125
0.07780257612466812,5e-05,0.5
0.1315402090549469,5e-05,0.125
0.12049588561058044,5e-05,0.1875
0.14937631785869598,5e-05,0.375
0.11825839430093765,5e-05,0.125
0.11654698848724365,5e-05,0.3125
0.11778859049081802,5e-05,0.0625
0.1182587742805481,5e-05,0.1875
0.10362745821475983,5e-05,0.0625
0.08767654746770859,5e-05,0.375
0.12813222408294678,5e-05,0.25
0.1305137276649475,5e-05,0.0625
0.08023037761449814,5e-05,0.375
0.100363589823246,5e-05,0.25
0.08340521901845932,5e-05,0.375
0.10402604937553406,5e-05,0.25
0.13826793432235718,5e-05,0.125
0.08737479895353317,5e-05,0.375
0.07044676691293716,5e-05,0.375
0.07632153481245041,5e-05,0.3125
0.10851780325174332,5e-05,0.1875
0.17199335992336273,5e-05,0.375
0.10643544048070908,5e-05,0.1875
0.11122465133666992,5e-05,0.3125
0.09849200397729874,5e-05,0.375
0.09746591001749039,5e-05,0.25
0.08261062949895859,5e-05,0.3125
0.11307454109191895,5e-05,0.25
0.11522335559129715,5e-05,0.25
0.13424012064933777,5e-05,0.125
0.13972459733486176,5e-05,0.1875
0.11813938617706299,5e-05,0.0625
0.10863704979419708,5e-05,0.25
0.09132792800664902,5e-05,0.25
0.14837883412837982,5e-05,0.125
0.10520599782466888,5e-05,0.4375
0.08885760605335236,5e-05,0.25
0.08563049137592316,5e-05,0.25
0.10629060119390488,5e-05,0.375
0.16666719317436218,5e-05,0.0625
0.09455064684152603,5e-05,0.25
0.08503753691911697,5e-05,0.25
0.11893612891435623,5e-05,0.1875
0.09610721468925476,5e-05,0.1875
0.10090819001197815,5e-05,0.1875
0.09884163737297058,5e-05,0.1875
0.1250726729631424,5e-05,0.25
0.10231461375951767,5e-05,0.1875
0.08891389518976212,5e-05,0.25
0.08383970707654953,5e-05,0.375
0.09950795769691467,5e-05,0.1875
0.0962381437420845,5e-05,0.1875
0.11558721959590912,5e-05,0.3125
0.08312195539474487,5e-05,0.375
0.11057087033987045,5e-05,0.25
0.09309151023626328,5e-05,0.3125
0.08016150444746017,5e-05,0.5
0.0959920585155487,5e-05,0.25
0.13973098993301392,5e-05,0.125
0.0973181277513504,5e-05,0.375
0.09529448300600052,5e-05,0.25
0.11033008247613907,5e-05,0.25
0.08161304891109467,5e-05,0.4375
0.12292202562093735,5e-05,0.375
0.08136960864067078,5e-05,0.25
0.12130185961723328,5e-05,0.0625
0.18787966668605804,5e-05,0.1875
0.12401385605335236,5e-05,0.0625
0.10847974568605423,5e-05,0.3125
0.11489243060350418,5e-05,0.125
0.10803063213825226,5e-05,0.1875
0.08761574327945709,5e-05,0.25
0.08607319742441177,5e-05,0.25
0.12421325594186783,5e-05,0.125
0.07073007524013519,5e-05,0.5
0.09965624660253525,5e-05,0.25
0.11116131395101547,5e-05,0.375
0.07048683613538742,5e-05,0.5
0.1017889529466629,5e-05,0.25
0.1109679788351059,5e-05,0.25
0.10719481855630875,5e-05,0.3125
0.11146102845668793,5e-05,0.3125
0.1040436401963234,5e-05,0.25
0.10708723962306976,5e-05,0.0625
0.0880308523774147,5e-05,0.4375
0.10440007597208023,5e-05,0.125
0.13249824941158295,5e-05,0.25
0.07125601172447205,5e-05,0.5
0.10869324207305908,5e-05,0.25
0.092679962515831,5e-05,0.375
0.1167450025677681,5e-05,0.1875
0.10219325870275497,5e-05,0.25
0.06991370767354965,5e-05,0.5
0.10464561730623245,5e-05,0.1875
0.1093083843588829,5e-05,0.1875
0.07575467973947525,5e-05,0.375
0.131879523396492,5e-05,0.125
0.08158525079488754,5e-05,0.25
0.06456024199724197,5e-05,0.4375
0.06421490013599396,5e-05,0.375
0.09059641510248184,5e-05,0.1875
0.09657228738069534,5e-05,0.5
0.10065577924251556,5e-05,0.4375
0.10395772755146027,5e-05,0.25
0.09042706340551376,5e-05,0.4375
0.09049881249666214,5e-05,0.3125
0.12706808745861053,5e-05,0.125
0.0925024077296257,5e-05,0.3125
0.09313344210386276,5e-05,0.25
0.12632519006729126,5e-05,0.1875
0.12911884486675262,5e-05,0.25
0.11743384599685669,5e-05,0.1875
0.10304941982030869,5e-05,0.1875
0.09283468127250671,5e-05,0.1875
0.11126019060611725,5e-05,0.1875
0.09259320795536041,5e-05,0.3125
0.13421474397182465,5e-05,0.1875
0.08657053858041763,5e-05,0.25
0.11955182254314423,5e-05,0.4375
0.1477927267551422,5e-05,0.1875
0.10930190235376358,5e-05,0.25
0.10632403194904327,5e-05,0.125
0.11347877979278564,5e-05,0.1875
0.12287607043981552,5e-05,0.1875
0.09602555632591248,5e-05,0.1875
0.07941631227731705,5e-05,0.3125
0.11095777899026871,5e-05,0.125
0.11381503939628601,5e-05,0.3125
0.09654145687818527,5e-05,0.25
0.11520238220691681,5e-05,0.1875
0.15008363127708435,5e-05,0.0625
0.07939465343952179,5e-05,0.4375
0.11408355832099915,5e-05,0.125
0.11642249673604965,5e-05,0.1875
0.13400480151176453,5e-05,0.0625
0.0983910784125328,5e-05,0.375
0.08511417359113693,5e-05,0.1875
0.08590911328792572,5e-05,0.25
0.14003656804561615,5e-05,0.1875
0.10462817549705505,5e-05,0.4375
0.07564985007047653,5e-05,0.25
0.1075364425778389,5e-05,0.25
0.10154619812965393,5e-05,0.25
0.10179892927408218,5e-05,0.3125
0.08818323910236359,5e-05,0.3125
0.07782569527626038,5e-05,0.4375
0.08896645903587341,5e-05,0.375
0.08359996229410172,5e-05,0.3125
0.09629560261964798,5e-05,0.3125
0.09594786912202835,5e-05,0.375
0.10189435631036758,5e-05,0.3125
0.10479093343019485,5e-05,0.375
0.1270391047000885,5e-05,0.25
0.08006306737661362,5e-05,0.4375
0.10245786607265472,5e-05,0.25
0.13287708163261414,5e-05,0.25
0.13389083743095398,5e-05,0.3125
0.074490025639534,5e-05,0.5
0.11554039269685745,5e-05,0.25
0.13035118579864502,5e-05,0.1875
0.07304783165454865,5e-05,0.4375
0.11170754581689835,5e-05,0.25
0.11923538148403168,5e-05,0.25
0.10189409554004669,5e-05,0.1875
0.09647264331579208,5e-05,0.3125
0.09368972480297089,5e-05,0.3125
0.1073659360408783,5e-05,0.125
0.0944444090127945,5e-05,0.25
0.10127931088209152,5e-05,0.375
0.1071014329791069,5e-05,0.3125
0.10827645659446716,5e-05,0.125
0.09100132435560226,5e-05,0.3125
0.09696472436189651,5e-05,0.125
0.07613568007946014,5e-05,0.5
0.08707083761692047,5e-05,0.375
0.125737726688385,5e-05,0.1875
0.08249922096729279,5e-05,0.3125
0.10752247273921967,5e-05,0.25
0.1250087320804596,5e-05,0.1875
0.1036289855837822,5e-05,0.3125
0.1017986387014389,5e-05,0.1875
0.09260977059602737,5e-05,0.3125
0.09009791165590286,5e-05,0.25
0.11237916350364685,5e-05,0.25
0.09794403612613678,5e-05,0.25
0.08376385271549225,5e-05,0.1875
0.09768620133399963,5e-05,0.3125
0.09131269156932831,5e-05,0.125
0.114865742623806,5e-05,0.125
0.0927971675992012,5e-05,0.1875
0.13194790482521057,5e-05,0.125
0.128568634390831,5e-05,0.125
0.08802112936973572,5e-05,0.3125
0.11516333371400833,5e-05,0.0625
0.10814950615167618,5e-05,0.125
0.0910089761018753,5e-05,0.4375
0.0910806953907013,5e-05,0.3125
0.13052964210510254,5e-05,0.0625
0.1020302027463913,5e-05,0.25
0.1158754825592041,5e-05,0.1875
0.10523249208927155,5e-05,0.1875
0.11927530169487,5e-05,0.1875
0.1370081752538681,5e-05,0.0
0.10307358205318451,5e-05,0.125
0.14105217158794403,5e-05,0.1875
0.08139529079198837,5e-05,0.5
0.09223293513059616,5e-05,0.375
0.10343821346759796,5e-05,0.1875
0.1091594249010086,5e-05,0.3125
0.0713622197508812,5e-05,0.375
0.07525111734867096,5e-05,0.375
